ETBL_ID;TERR_GENRE;TERR_ZONE_ID;TERR_ZONE_NOM_FR;TERR_ZONE_NOM_EN;TERR_ZONE_GENRE_ID;TERR_ZONE_GENRE_FR;TERR_ZONE_GENRE_EN
379658951;principal;22194;Portneuf;Portneuf;91;Ville;City
379658951;principal;433431;Portneuf;Portneuf;87;Sous-région;Sub-area
379658951;principal;3416;Québec;Québec City and Area;81;Région;Area
379658951;principal;3406;Québec;Quebec;75;Province;Province
379659792;principal;21478;Centre-ville;Downtown;432971;Quartier / secteur;District / Area
379659792;principal;134612309;Mont-Tremblant;Mont-Tremblant;91;Ville;City
379659792;principal;3430;Laurentides;Laurentides;81;Région;Area
379659792;principal;3406;Québec;Quebec;75;Province;Province
379662592;principal;20746;Sainte-Marie;Sainte-Marie;91;Ville;City
379662592;principal;3420;Chaudière-Appalaches;Chaudière-Appalaches;81;Région;Area
379662592;principal;3406;Québec;Quebec;75;Province;Province
379790197;principal;21674;Saint-Alphonse-Rodriguez;Saint-Alphonse-Rodriguez;91;Ville;City
379790197;principal;3428;Lanaudière;Lanaudière;81;Région;Area
379790197;principal;3406;Québec;Quebec;75;Province;Province
379830138;principal;288838176;Île du Cap aux Meules;Île du Cap aux Meules;432971;Quartier / secteur;District / Area
379830138;principal;288838062;Les Îles-de-la-Madeleine;Les Îles-de-la-Madeleine;91;Ville;City
379830138;principal;3408;Îles-de-la-Madeleine;Îles-de-la-Madeleine;81;Région;Area
379830138;principal;3406;Québec;Quebec;75;Province;Province
379830154;principal;22134;Petite-Rivière-Saint-François;Petite-Rivière-Saint-François;91;Ville;City
379830154;principal;3414;Charlevoix;Charlevoix;81;Région;Area
379830154;principal;3406;Québec;Quebec;75;Province;Province
379830282;principal;22970;Chertsey;Chertsey;91;Ville;City
379830282;principal;3428;Lanaudière;Lanaudière;81;Région;Area
379830282;principal;3406;Québec;Quebec;75;Province;Province
379830290;principal;186476612;L'Isle-aux-Coudres;L'Isle-aux-Coudres;91;Ville;City
379830290;principal;3414;Charlevoix;Charlevoix;81;Région;Area
379830290;principal;3406;Québec;Quebec;75;Province;Province
379830298;principal;21930;Mont-Saint-Pierre;Mont-Saint-Pierre;91;Ville;City
379830298;principal;3410;Gaspésie;Gaspésie;81;Région;Area
379830298;principal;3406;Québec;Quebec;75;Province;Province
379830322;principal;5276439;Les Bergeronnes;Les Bergeronnes;91;Ville;City
379830322;principal;380370789;Tadoussac;Tadoussac;87;Sous-région;Sub-area
379830322;principal;3440;Manicouagan;Manicouagan;81;Région;Area
379830322;principal;3406;Québec;Quebec;75;Province;Province
379830337;principal;20604;Sainte-Anne-des-Lacs;Sainte-Anne-des-Lacs;91;Ville;City
379830337;principal;3430;Laurentides;Laurentides;81;Région;Area
379830337;principal;3406;Québec;Quebec;75;Province;Province
379830361;principal;22948;Chandler;Chandler;91;Ville;City
379830361;principal;3410;Gaspésie;Gaspésie;81;Région;Area
379830361;principal;3406;Québec;Quebec;75;Province;Province
379830369;principal;20588;Sainte-Anne-de-Beaupré;Sainte-Anne-de-Beaupré;91;Ville;City
379830369;principal;433417;Côte-de-Beaupré;Côte-de-Beaupré;87;Sous-région;Sub-area
379830369;principal;3416;Québec;Québec City and Area;81;Région;Area
379830369;principal;3406;Québec;Quebec;75;Province;Province
379913686;principal;23446;La Conception;La Conception;91;Ville;City
379913686;principal;3430;Laurentides;Laurentides;81;Région;Area
379913686;principal;3406;Québec;Quebec;75;Province;Province
379913696;principal;292120347;Plateau Mont-Royal - Mile End;Plateau Mont-Royal - Mile End;432971;Quartier / secteur;District / Area
379913696;principal;21950;Montréal;Montréal;91;Ville;City
379913696;principal;3432;Montréal;Montréal;81;Région;Area
379913696;principal;3406;Québec;Quebec;75;Province;Province
380054781;principal;127377953;Centre-ville - quartier Saint-Roch;Downtown - Saint-Roch district;432971;Quartier / secteur;District / Area
380054781;principal;127375292;Arrondissement de La Cité - Limoilou;Borough of La Cité - Limoilou;432971;Quartier / secteur;District / Area
380054781;principal;22218;Québec;Québec City;91;Ville;City
380054781;principal;528997;Agglomération de Québec;Québec City Agglomeration;87;Sous-région;Sub-area
380054781;principal;3416;Québec;Québec City and Area;81;Région;Area
380054781;principal;3406;Québec;Quebec;75;Province;Province
380092787;principal;20670;Sainte-Flavie;Sainte-Flavie;91;Ville;City
380092787;principal;3410;Gaspésie;Gaspésie;81;Région;Area
380092787;principal;3406;Québec;Quebec;75;Province;Province
380092795;principal;23108;Dunham;Dunham;91;Ville;City
380092795;principal;3424;Cantons-de-l'Est;Eastern Townships;81;Région;Area
380092795;principal;3406;Québec;Quebec;75;Province;Province
380092804;principal;22134;Petite-Rivière-Saint-François;Petite-Rivière-Saint-François;91;Ville;City
380092804;principal;3414;Charlevoix;Charlevoix;81;Région;Area
380092804;principal;3406;Québec;Quebec;75;Province;Province
380092812;principal;21730;Saint-Athanase;Saint-Athanase;91;Ville;City
380092812;principal;380360076;Témiscouata;Témiscouata;87;Sous-région;Sub-area
380092812;principal;3412;Bas-Saint-Laurent;Bas-Saint-Laurent;81;Région;Area
380092812;principal;3406;Québec;Quebec;75;Province;Province
380092828;principal;5276172;Cascapédia-Saint-Jules;Cascapédia-Saint-Jules;91;Ville;City
380092828;principal;3410;Gaspésie;Gaspésie;81;Région;Area
380092828;principal;3406;Québec;Quebec;75;Province;Province
380092836;principal;22922;Caplan;Caplan;91;Ville;City
380092836;principal;3410;Gaspésie;Gaspésie;81;Région;Area
380092836;principal;3406;Québec;Quebec;75;Province;Province
380092844;principal;21932;Village - Mont-Tremblant;Village - Mont-Tremblant;432971;Quartier / secteur;District / Area
380092844;principal;134612309;Mont-Tremblant;Mont-Tremblant;91;Ville;City
380092844;principal;3430;Laurentides;Laurentides;81;Région;Area
380092844;principal;3406;Québec;Quebec;75;Province;Province
380173865;principal;23242;Grandes-Piles;Grandes-Piles;91;Ville;City
380173865;principal;3422;Mauricie;Mauricie;81;Région;Area
380173865;principal;3406;Québec;Quebec;75;Province;Province
380173873;principal;22856;Bowman;Bowman;91;Ville;City
380173873;principal;3434;Outaouais;Outaouais;81;Région;Area
380173873;principal;3406;Québec;Quebec;75;Province;Province
380173920;principal;529097;Vieux-Québec - intérieur des murs;Vieux-Québec - inside the walls;432971;Quartier / secteur;District / Area
380173920;principal;127375292;Arrondissement de La Cité - Limoilou;Borough of La Cité - Limoilou;432971;Quartier / secteur;District / Area
380173920;principal;22218;Québec;Québec City;91;Ville;City
380173920;principal;528997;Agglomération de Québec;Québec City Agglomeration;87;Sous-région;Sub-area
380173920;principal;3416;Québec;Québec City and Area;81;Région;Area
380173920;principal;3406;Québec;Quebec;75;Province;Province
380173936;principal;20780;Sainte-Praxède;Sainte-Praxède;91;Ville;City
380173936;principal;3420;Chaudière-Appalaches;Chaudière-Appalaches;81;Région;Area
380173936;principal;3406;Québec;Quebec;75;Province;Province
380173944;principal;21864;Saint-Denis-De La Bouteillerie;Saint-Denis-De La Bouteillerie;91;Ville;City
380173944;principal;380359935;Kamouraska;Kamouraska;87;Sous-région;Sub-area
380173944;principal;3412;Bas-Saint-Laurent;Bas-Saint-Laurent;81;Région;Area
380173944;principal;3406;Québec;Quebec;75;Province;Province
380173952;principal;288838176;Île du Cap aux Meules;Île du Cap aux Meules;432971;Quartier / secteur;District / Area
380173952;principal;288838062;Les Îles-de-la-Madeleine;Les Îles-de-la-Madeleine;91;Ville;City
380173952;principal;3408;Îles-de-la-Madeleine;Îles-de-la-Madeleine;81;Région;Area
380173952;principal;3406;Québec;Quebec;75;Province;Province
380173960;principal;21636;Saint-Adolphe-d'Howard;Saint-Adolphe-d'Howard;91;Ville;City
380173960;principal;3430;Laurentides;Laurentides;81;Région;Area
380173960;principal;3406;Québec;Quebec;75;Province;Province
380173968;principal;21362;Saint-Hippolyte;Saint-Hippolyte;91;Ville;City
380173968;principal;3430;Laurentides;Laurentides;81;Région;Area
380173968;principal;3406;Québec;Quebec;75;Province;Province
380173984;principal;22986;Chute-Saint-Philippe;Chute-Saint-Philippe;91;Ville;City
380173984;principal;3430;Laurentides;Laurentides;81;Région;Area
380173984;principal;3406;Québec;Quebec;75;Province;Province
380173992;principal;288838176;Île du Cap aux Meules;Île du Cap aux Meules;432971;Quartier / secteur;District / Area
380173992;principal;288838062;Les Îles-de-la-Madeleine;Les Îles-de-la-Madeleine;91;Ville;City
380173992;principal;3408;Îles-de-la-Madeleine;Îles-de-la-Madeleine;81;Région;Area
380173992;principal;3406;Québec;Quebec;75;Province;Province
380174000;principal;22970;Chertsey;Chertsey;91;Ville;City
380174000;principal;3428;Lanaudière;Lanaudière;81;Région;Area
380174000;principal;3406;Québec;Quebec;75;Province;Province
380174008;principal;288838131;Île du Havre Aubert;Île du Havre Aubert;432971;Quartier / secteur;District / Area
380174008;principal;288838062;Les Îles-de-la-Madeleine;Les Îles-de-la-Madeleine;91;Ville;City
380174008;principal;3408;Îles-de-la-Madeleine;Îles-de-la-Madeleine;81;Région;Area
380174008;principal;3406;Québec;Quebec;75;Province;Province
380181313;principal;253620114;Témiscouata-sur-le-Lac;Témiscouata-sur-le-Lac;91;Ville;City
380181313;principal;380360076;Témiscouata;Témiscouata;87;Sous-région;Sub-area
380181313;principal;3412;Bas-Saint-Laurent;Bas-Saint-Laurent;81;Région;Area
380181313;principal;3406;Québec;Quebec;75;Province;Province
380357046;principal;20848;Scott;Scott;91;Ville;City
380357046;principal;3420;Chaudière-Appalaches;Chaudière-Appalaches;81;Région;Area
380357046;principal;3406;Québec;Quebec;75;Province;Province
380357063;principal;21240;Saint-Faustin-Lac-Carré;Saint-Faustin-Lac-Carré;91;Ville;City
380357063;principal;3430;Laurentides;Laurentides;81;Région;Area
380357063;principal;3406;Québec;Quebec;75;Province;Province
380357079;principal;22742;Baie-Saint-Paul;Baie-Saint-Paul;91;Ville;City
380357079;principal;3414;Charlevoix;Charlevoix;81;Région;Area
380357079;principal;3406;Québec;Quebec;75;Province;Province
380357087;principal;23242;Grandes-Piles;Grandes-Piles;91;Ville;City
380357087;principal;3422;Mauricie;Mauricie;81;Région;Area
380357087;principal;3406;Québec;Quebec;75;Province;Province
380357096;principal;22948;Chandler;Chandler;91;Ville;City
380357096;principal;3410;Gaspésie;Gaspésie;81;Région;Area
380357096;principal;3406;Québec;Quebec;75;Province;Province
380357120;principal;22844;Bonaventure;Bonaventure;91;Ville;City
380357120;principal;3410;Gaspésie;Gaspésie;81;Région;Area
380357120;principal;3406;Québec;Quebec;75;Province;Province
380357128;principal;21584;Roberval;Roberval;91;Ville;City
380357128;principal;3438;Saguenay-Lac-Saint-Jean;Saguenay-Lac-Saint-Jean;81;Région;Area
380357128;principal;3406;Québec;Quebec;75;Province;Province
380360350;principal;23116;Dégelis;Dégelis;91;Ville;City
380360350;principal;380360076;Témiscouata;Témiscouata;87;Sous-région;Sub-area
380360350;principal;3412;Bas-Saint-Laurent;Bas-Saint-Laurent;81;Région;Area
380360350;principal;3406;Québec;Quebec;75;Province;Province
380361194;principal;21240;Saint-Faustin-Lac-Carré;Saint-Faustin-Lac-Carré;91;Ville;City
380361194;principal;3430;Laurentides;Laurentides;81;Région;Area
380361194;principal;3406;Québec;Quebec;75;Province;Province
380362017;principal;21478;Centre-ville;Downtown;432971;Quartier / secteur;District / Area
380362017;principal;134612309;Mont-Tremblant;Mont-Tremblant;91;Ville;City
380362017;principal;3430;Laurentides;Laurentides;81;Région;Area
380362017;principal;3406;Québec;Quebec;75;Province;Province
380436514;principal;288838182;Île Havre aux Maisons;Île Havre aux Maisons;432971;Quartier / secteur;District / Area
380436514;principal;288838062;Les Îles-de-la-Madeleine;Les Îles-de-la-Madeleine;91;Ville;City
380436514;principal;3408;Îles-de-la-Madeleine;Îles-de-la-Madeleine;81;Région;Area
380436514;principal;3406;Québec;Quebec;75;Province;Province
380436522;principal;20436;Val-des-Monts;Val-des-Monts;91;Ville;City
380436522;principal;3434;Outaouais;Outaouais;81;Région;Area
380436522;principal;3406;Québec;Quebec;75;Province;Province
380436539;principal;22436;Lac-aux-Sables;Lac-aux-Sables;91;Ville;City
380436539;principal;3422;Mauricie;Mauricie;81;Région;Area
380436539;principal;3406;Québec;Quebec;75;Province;Province
380436555;principal;21064;Saint-René-de-Matane;Saint-René-de-Matane;91;Ville;City
380436555;principal;3410;Gaspésie;Gaspésie;81;Région;Area
380436555;principal;3406;Québec;Quebec;75;Province;Province
380436563;principal;21316;Saint-Georges-de-Windsor;Saint-Georges-de-Windsor;91;Ville;City
380436563;principal;3424;Cantons-de-l'Est;Eastern Townships;81;Région;Area
380436563;principal;3406;Québec;Quebec;75;Province;Province
380436571;principal;257422193;L'Anse-au-Griffon;L'Anse-au-Griffon;432971;Quartier / secteur;District / Area
380436571;principal;23196;Gaspé;Gaspé;91;Ville;City
380436571;principal;3410;Gaspésie;Gaspésie;81;Région;Area
380436571;principal;3406;Québec;Quebec;75;Province;Province
380436587;principal;22120;Paspébiac;Paspébiac;91;Ville;City
380436587;principal;3410;Gaspésie;Gaspésie;81;Région;Area
380436587;principal;3406;Québec;Quebec;75;Province;Province
380436595;principal;22876;Brébeuf;Brébeuf;91;Ville;City
380436595;principal;3430;Laurentides;Laurentides;81;Région;Area
380436595;principal;3406;Québec;Quebec;75;Province;Province
380436603;principal;257422387;Haldimand;Haldimand;432971;Quartier / secteur;District / Area
380436603;principal;23196;Gaspé;Gaspé;91;Ville;City
380436603;principal;3410;Gaspésie;Gaspésie;81;Région;Area
380436603;principal;3406;Québec;Quebec;75;Province;Province
380436611;principal;22852;Boucherville;Boucherville;91;Ville;City
380436611;principal;3426;Montérégie;Montérégie;81;Région;Area
380436611;principal;3406;Québec;Quebec;75;Province;Province
380633253;principal;21714;Saint-Antoine-de-Tilly;Saint-Antoine-de-Tilly;91;Ville;City
380633253;principal;3420;Chaudière-Appalaches;Chaudière-Appalaches;81;Région;Area
380633253;principal;3406;Québec;Quebec;75;Province;Province
380633261;principal;292120347;Plateau Mont-Royal - Mile End;Plateau Mont-Royal - Mile End;432971;Quartier / secteur;District / Area
380633261;principal;21950;Montréal;Montréal;91;Ville;City
380633261;principal;3432;Montréal;Montréal;81;Région;Area
380633261;principal;3406;Québec;Quebec;75;Province;Province
380633270;principal;22986;Chute-Saint-Philippe;Chute-Saint-Philippe;91;Ville;City
380633270;principal;3430;Laurentides;Laurentides;81;Région;Area
380633270;principal;3406;Québec;Quebec;75;Province;Province
380633286;principal;21056;Saint-Prosper;Saint-Prosper;91;Ville;City
380633286;principal;3420;Chaudière-Appalaches;Chaudière-Appalaches;81;Région;Area
380633286;principal;3406;Québec;Quebec;75;Province;Province
380633302;principal;22986;Chute-Saint-Philippe;Chute-Saint-Philippe;91;Ville;City
380633302;principal;3430;Laurentides;Laurentides;81;Région;Area
380633302;principal;3406;Québec;Quebec;75;Province;Province
380633334;principal;21918;Mont-Laurier;Mont-Laurier;91;Ville;City
380633334;principal;3430;Laurentides;Laurentides;81;Région;Area
380633334;principal;3406;Québec;Quebec;75;Province;Province
380641017;principal;529097;Vieux-Québec - intérieur des murs;Vieux-Québec - inside the walls;432971;Quartier / secteur;District / Area
380641017;principal;127375292;Arrondissement de La Cité - Limoilou;Borough of La Cité - Limoilou;432971;Quartier / secteur;District / Area
380641017;principal;22218;Québec;Québec City;91;Ville;City
380641017;principal;528997;Agglomération de Québec;Québec City Agglomeration;87;Sous-région;Sub-area
