ETBL_ID;ETBL_NOM_FR;ETBL_NOM_EN;ETBL_DESC_FR;ETBL_DESC_EN;ETBL_RESERVABLE
840383;CAMP SPATIAL CANADA;CAMP SPATIAL CANADA;Le Cosmodôme propose des programmes interactifs comprenant trois missions ludiques et éducatives de 60 minutes chacune. Destiné à un public âgé de sept ans et plus.;This establishment offers an interactive concept of three fun and educational missions lasting 60 minutes each. Suitable for visitors aged seven years and older.;0
840638;CHÂTEAU LES BEAULNE;CHÂTEAU LES BEAULNE;;;0
841088;MANOIR BAGNELL-HALL;MANOIR BAGNELL-HALL;La place de choix pour un séjour campagnard. Complexe d¿hébergement de trois bâtiments. Chambres joliment décorées, entrée extérieure, salle de bain privée, réfrigérateur, cafetière. Suites avec cuisinette. Salle communautaire : foyer, téléviseur, divans, et salle à manger. Grand terrain pittoresque, piscine extérieure et jeux pour enfants. Accès Internet Wi-Fi.;Country lodging at its best in a unique three-building complex. Tastefully decorated rooms with exterior entrance, private bathroom, mini-fridge, coffeemaker. Suites with kitchenette. Common room has fireplace, satellite TV, and eating area. Large picturesque grounds, swimming pool, playground, ample parking. Wi-Fi Internet access.;0
841169;AUBERGE ET RESTAURANT CHEZ GIRARD;AUBERGE ET RESTAURANT CHEZ GIRARD;Auberge située en plein c¿ur du village de Sainte-Agathe-des-Monts. Fine cuisine régionale fusionnée aux saveurs du marché. Chambres avec bain tourbillon, foyer au bois naturel et air conditionné. Différents forfaits sont offerts.;Located in the heart of the village of Sainte-Agathe-des-Monts, this inn offers fine regional cuisine fused with market flavours. Rooms with whirlpool bath, fireplace and air conditioning. Various packages available.;0
841352;L’ESCALE HÔTEL SUITES;L’ESCALE HÔTEL SUITES;Établissement hôtelier offrant 70 chambres, y compris 14 suites de luxe. Services de bar et de restauration complète sur place.;Hotel establishment offering 70 rooms, including 14 luxury suites. Bar and full-service restaurant on site.;0
841572;HÔTEL DE LA COOPÉRATIVE DE KANGIQSUJUAQ;HÔTEL DE LA COOPÉRATIVE DE KANGIQSUJUAQ;Situé au c¿ur du village et à proximité de l¿aéroport, l¿hôtel comprend 14 chambres et une cuisine pour votre confort. Chaque unité est équipée d¿un espace de travail avec un accès gratuit à Internet sans fil, d¿un petit réfrigérateur, d¿un téléviseur à écran plat et d¿une salle de bain privée.;Located in the heart of the village and near the airport, this co-op hotel includes 14 rooms and one shared kitchen for your convenience. Each room is equipped with a convenient workspace and complimentary Wi-Fi Internet acces, a mini-fridge, flatscreen television and private bathroom. ;0
841624;ORGANISME LA FERME D'ANDRÉ;ORGANISME LA FERME D'ANDRÉ;;;0
841955;HÔTEL SPA MONT-GABRIEL;HÔTEL SPA MONT-GABRIEL;Cet hôtel de 135 unités situé au sommet de la montagne vous offre une cuisine gourmande, 12 salles de réunion ou de banquet, ski alpin, patinoire, raquette, golf 18 trous, terrain de volleyball, six terrains de tennis en terre battue, piscines intérieure et extérieure, spa Relaxia et Internet sans fil gratuit.;This 135-room four-star resort hotel, perched on the mountain¿s summit, offers fine cuisine, 12 conference or banquet rooms, downhill skiing, a skating rink, an 18-hole golf course, volleyball court, six tennis courts, an indoor and outdoor pool, Relaxia Spa and free wireless Internet.;0
842121;LES STUDIOS HÔTEL - UNIVERSITÉ DE MONTRÉAL;LES STUDIOS HÔTEL - UNIVERSITÉ DE MONTRÉAL;Votre destination estivale au sommet du grand Montréal! Si vous prévoyez faire un séjour seul, en couple ou en groupe à Montréal, offrez-vous le plaisir de découvrir notre accueil irrésistible! Situé à deux pas du verdoyant parc du Mont-Royal, notre Hôtel se trouve près du centre-ville, mais pas trop près des foules. ;Your summer destination in the heart of downtown Montréal! Whether you travel alone, with your loved one or in group, discover with pleasure our irresistible welcome! Open from May to August within steps to the lush Mont-Royal Park, our Hotel is located close to downtown.;0
842175;HÔTEL BEST WESTERN VILLE-MARIE ET SUITES;HÔTEL BEST WESTERN VILLE-MARIE ET SUITES;Cet hôtel propose 170 chambres nouvellement rénovées, spacieuses, confortables et complètement équipées avec vue sur le Mont-Royal et la ville. Ne vous inquiétez pas pour l¿espace, les chambres sont parmi les plus grandes à Montréal. Internet haute vitesse sans fil (gratuit), téléphone avec boîte vocale, air conditionné, etc.;Offers 170 newly renovated, spacious, comfortable and fully equipped rooms overlooking mont Royal or the city. Features some of the largest rooms in the city. Guest rooms include several amenities, including free Wi-Fi, refrigerator, telephone with voicemail, etc.;0
842593;AUBERGE LA HUARDIÈRE;AUBERGE LA HUARDIÈRE;Située dans la nature entourant le lac Lusignan à Saint-Michel-des-Saints, cette auberge est un centre écologique proposant plusieurs activités aux étudiants de l¿UQAM, tout en s¿ouvrant à d¿autres clientèles. Présentez-y une conférence, un séminaire, des formations, des réunions d¿affaires ou des ateliers sur la croissance personnelle.;Nestled deep in nature near lac Lusignan in Saint-Michel-des-Saints, this inn is an ecological centre offering activities for groups of UQAM students. Also open for other customers looking for a venue to hold conferences, seminars, training sessions, business meetings, or workshops on personal growth.;0
842825;CHEZ JEAN;CHEZ JEAN;Auberge à l'ambiance chaleureuse et sympa, située au coeur du Plateau Mont Royal. Idéal pour faire des rencontres et passer un agréable séjour à Montréal. Petit déjeuner inclus, cuisine à votre disposition et Internet gratuit. Salons et terrasses communs.;"Warm, easygoing lodgings in Montréal's Plateau Mont-Royal district. The perfect place to make friends and ensure a pleasant stay. Breakfast and use of kitchen included. Free Internet access; shared living room and patios.";0
842963;L'HOSTELLERIE DU LAC-NOIR;L'HOSTELLERIE DU LAC-NOIR;Huit chalets rustiques en bord de lac. Entièrement équipés. Léger entretien ménager quotidien. Embarcations (chaloupe, pédalo, canot, kayaks). Les animaux bien élevés sont les bienvenus. Accès à des sentiers et des activités de plein air en toutes saisons. Mini-ferme (poney, âne, bouc, mouton, lapin). Vos hôtes : Dominique et Michel.;Eight fully equipped rustic cabins by the lake. Light housekeeping provided daily. Rowboat, pedal boat, canoe and kayaks. Well-behaved pets welcome. Access to trails and outdoor activities in all seasons. Mini-farm (ponies, miniature donkey, billy goat, sheep and rabbit). Your hosts: Dominique and Michel.;0
843161;À L'ADRESSE DU CENTRE-VILLE;À L'ADRESSE DU CENTRE-VILLE;Passez un séjour inoubliable dans une maison au cachet unique où l¿attention portée aux détails vous assurera un confort inégalé. Vous serez ravis par nos chambres spacieuses et l¿atmosphère paisible de la maison. Une terrasse urbaine vous offrira des moments de détente. Internet haute vitesse, télévision câblée, ouvert à l¿année.;Enjoy an unforgettable stay in a truly unique house, where special attention to the tiny details ensures unequalled comfort. Relax on the urban terrace and enjoy a non-smoking environment with air conditioning. Features a telephone, a computer with high-speed Internet access and cable television. Open year-round.;0
844143;TRAVELODGE RIGAUD;TRAVELODGE RIGAUD;;;0
844378;CAMP DES BOULEAUX;CAMP DES BOULEAUX;Camp de vacances chrétien situé sur le bord du lac Grier, à Grand-Remous, au Québec. En plus de la formation biblique et de l'enseignement sur les principes moraux, on peut y pratiquer plusieurs activités sportives et récréatives pour se rafraîchir le corps et l'esprit.;Christian summer camp on the shores of Lac Grier in Grand-Remous, Québec. After Bible study and moral instruction, refresh your mind and body through a range of sports and leisure activities!;0
844804;LE PROVINCIALART;LE PROVINCIALART;À proximité du Grand lac Nominingue, ce gîte accueillant vous séduira à coup sûr par son hospitalité et sa cuisine savoureuse aux parfums exotiques. Laissez-vous charmer par la beauté de l'environnement et la délicatesse de vos hôtes, Diane et Guy.;"Close to Grand lac Nominingue, this hospitable B&#38;B will seduce you with its natural charm and flavoursome, exotic cuisine. You'll be delighted by the warm atmosphere and friendly welcome extended by your charming hosts, Diane and Guy.";0
844867;CHEZ NOR-LOU;CHEZ NOR-LOU;Coquette maison de campagne située sur un domaine boisé de 35 acres traversé par une rivière. Prenez un bain de nature tout près du parc du Mont-Tremblant et du centre de villégiature Tremblant. Vue imprenable sur les montagnes de la vallée de Tremblant. Venez vivre l¿expérience d¿une minimaison.;This cozy little country home is set on 35 acres of wooded land crossed by a river and located near Parc national du Mont-Tremblant and Tremblant Resort. Take in the natural surroundings and beautiful view of the mountains of the Tremblant valley from the comfort of a fully-equipped mini house.;0
845141;CAMP MUSICAL DES LAURENTIDES;CAMP MUSICAL DES LAURENTIDES;;;0
845298;HÔTEL-MOTEL CARREFOUR LA GRANDE;HÔTEL-MOTEL CARREFOUR LA GRANDE;;;0
845612;AUBERGE DU MONT LANAUDIÈRE;AUBERGE DU MONT LANAUDIÈRE;Auberge située à environ deux kilomètres du lac Maskinongé, à Saint-Gabriel-de-Brandon. Possibilité de location en groupe, afin de profiter du grand air ou de se divertir entre amis. Aucun personnel sur place. Le site comprend une montagne boisée, parfaite pour les randonnées, le VTT, la motoneige et le ski de fond.;Inn located about 2 km (roughly 1.25 mi.) from Lac Maskinongé, in Saint-Gabriel-de-Brandon. Available for group rentals, meaning you can enjoy the great outdoors and a good time with your friends. No staff on site. Property includes a wooded mountain, perfect for hiking, ATVing, snowmobiling and cross-country skiing.;0
845662;CAMP KATERI, CAMP DES GUIDES FRANCO-CANADIENNES, DISTRICT D'OTTAWA;CAMP KATERI, CAMP DES GUIDES FRANCO-CANADIENNES, DISTRICT D'OTTAWA;;;0
845752;HÔTEL DU GOLF NOMININGUE;HÔTEL DU GOLF NOMININGUE;Hôtel vous offrant confort et quiétude. Situé dans un endroit paisible, tout près des services. Séjour agréable, apprécié de la clientèle. Une visite vaut mille mots!;Hotel offering comfort and tranquility. Located in a calm and natural setting within walking distance of a variety of amenities. One stay will win you over!;0
845888;LA TOUR BELVÉDÈRE;LA TOUR BELVÉDÈRE;Hébergement situé au centre-ville de Montréal, dans un environnement tranquille. Comprend des suites spacieuses et tout ce dont vous avez besoin pour un séjour à court ou à long terme. Appartements meublés avec services offerts comme à l¿hôtel. Emplacement idéal près de l¿accès aux autoroutes et des stations de métro.;Furnished hotel apartments conveniently located in downtown Montréal, just steps from the hustle and bustle yet in a quiet spot. Discover spacious suites and all the amenities you need for a short or long stay. Close to all services, the highway and metro stations.  ;0
846582;CENTRE NOTRE-DAME-DE-FATIMA;CENTRE NOTRE-DAME-DE-FATIMA;Centre idéal pour organiser vos rencontres de groupes. Associations, équipes sportives, familles, groupes d'élèves : tous sont les bienvenus pour un séjour. Accueil chaleureux par une équipe dynamique et dévouée. Les installations sont à votre disposition et vous avez accès à une personne-ressource tout au long de votre visite.;The perfect place for group events. Clubs, sports teams, families, students: all receive the same warm welcome from the attentive, dedicated team. Enjoy full access to the facilities plus the services of a resource person throughout your stay.;0
846664;CAMP SCOUT AWACAMENJ MINO;CAMP SCOUT AWACAMENJ MINO;Depuis 1955, ce camp situé en bord de lac et dont le nom algonquin signifie « meilleur que tout » offre un environnement naturel à des groupes de jeunes encadrés. Ce camp ouvert à l¿année est situé à 75 kilomètres au nord d¿Ottawa-Gatineau, sur une terre forestière de 300 hectares.;"Since opening in 1955, this lakefront camp, whose name in Algonquin means ""better than the best"", has offered a wonderful natural setting for organized youth groups. Open year-round, the camp is located 75 km (46 mi.) north of Ottawa and Gatineau, on 750 acres of forested land.";0
846864;CAMP PARDAS CHANAH;CAMP PARDAS CHANAH;;;0
847180;CENTRE MUSICAL CAMMAC;CENTRE MUSICAL CAMMAC;Centre musical offrant depuis 1953 aux musiciens amateurs des vacances musicales inoubliables sous la direction de musiciens professionnels réputés. Des programmes distincts permettent aux enfants, aux adolescents et aux adultes de trouver leur place dans une ambiance stimulante et détendue.;Since 1953, this music centre has been offering amateur musicians of all ages and levels a summer program with themes such as early music, choral singing, chamber music, musical theatre, and jazz. The best way to link people together is through music!;0
847241;MOTEL LOUIS G.;MOTEL LOUIS G.;;;0
847322;MOTEL LE CLASSIC;MOTEL LE CLASSIC;;;0
847496;CAMP MASSAD;CAMP MASSAD;;;0
847628;CAMP AMY MOLSON;CAMP AMY MOLSON;;;0
847771;CAMP JOLI-B;CAMP JOLI-B;;;0
847984;DOMAINE DE LA BAIE GILLIES;DOMAINE DE LA BAIE GILLIES;;;0
848083;CAMP FAMILIAL ABITIBI-TÉMISCAMINGUE;CAMP FAMILIAL ABITIBI-TÉMISCAMINGUE;;;0
848263;CENTRE DE PLEIN AIR DU LAC-FLAVRIAN;CENTRE DE PLEIN AIR DU LAC-FLAVRIAN;Camp de vacances spécialisé pour personnes vivant avec une incapacité ou un handicap. Tous les services sont adaptés à cette clientèle. La population en général peut aussi profiter de ce site enchanteur pour une fête, un mariage ou une réunion.;Fully adapted to the needs of disabled persons, this vacation camp is also open to anyone wishing to make the most of an enchanting setting. The perfect place for your next gathering, reception or meeting!;0
848493;VILLAGE SUISSE;VILLAGE SUISSE;Hébergement dans dix chalets rustiques au bord du lac La Sapinière comprenant un foyer, une cuisine tout équipée et l¿accès gratuit au parc régional de Val-David. À 100 mètres de la piste cyclable P¿tit train du Nord. Spa à l¿année. Piscine et accès au lac en saison.;These ten rustic cottages on lac La Sapinière feature fireplaces, fully equipped kitchens and free entry to the Parc régional de Val-David-Val-Morin. Located 100 metres from the P¿tit train du Nord linear park. Enjoy the hot tub year-round and swim in the pool or lake in the summer.;0
849290;RÉSIDENCE LALEMANT COLLÈGE BRÉBEUF;RÉSIDENCE LALEMANT COLLÈGE BRÉBEUF;Hébergement pouvant accueillir environ 200 personnes dans 75 chambres simples et 45 chambres doubles. Commodités : literie, serviettes à main et savon, lavabo dans chaque chambre, douches et toilettes sur l'étage, salons avec téléviseur et ordinateurs et accès Internet sans fil. Personnel courtois et dévoué, disponible 24 heures sur 24.;Establishment able to accommodate 200 people in 75 single rooms and 45 double rooms. Includes: bedding, hand towels, soap, washbasin in every room, showers and toilets on each floor, lounges with television and computers, wireless Internet access and a courteous, devoted staff available 24 hours.;0
850349;BASE DE PLEIN AIR BON DÉPART;BASE DE PLEIN AIR BON DÉPART;Centre de vacances ouvert à l¿année. Installations modernes sur un site naturel de 539 acres. Accueille groupes scolaires, familles, entreprises, associations, scouts et groupes de personnes handicapées. L¿endroit offre aussi un répit et un camp pour les personnes à besoins particuliers, des camps de jour, des classes nature et des camps de vacances.;This year-round vacation centre offers modern facilities set on 539 acres of natural land. A great place for outings by school groups, families, businesses, associations, scouts and groups of disabled persons. Provides respite and camp for individuals with special needs, day camps, nature classes and summer camps. ;0
850424;CAMP VILLE-MARIE;CAMP VILLE-MARIE;Pour une classe nature ou un camp de vacances, découvrez ce site de verdure et de lacs, parsemé de montagnes et parcouru de sentiers pédestres, où plusieurs activités sont offertes. Accueil chaleureux, service personnalisé et forfaits de séjour adapté à vos besoins vous attendent!;Looking for an open-air learning activity? A vacation camp? Discover a charming setting with lakes, mountains, hiking trails, and a whole range of activities. A warm welcome, attentive service and a holiday package tailored to your needs await you!;0
850493;CAMP GAN ISRAËL;CAMP GAN ISRAËL;;;0
850713;CAMP DES ÎLES;CAMP DES ÎLES;Situé à l¿Île-aux-Chats, près de Lachute, ce camp vise à faire connaître la Bible aux enfants et aux familles en plus de favoriser le développement physique. Le camp peut aussi être loué par des groupes et des écoles pour des évènements.;This camp and retreat centre is located on Île-aux-Chats, near Lachute. Its mission consists in presenting biblical truths to children and families and foster their spiritual and physical development. Besides offering summer camps, the camp¿s facilities are also available year-round for rental by groups.;0
850765;HÔTEL VACANCES TREMBLANT;HÔTEL VACANCES TREMBLANT;Cet hôtel vous offre le meilleur rapport qualité-prix de la région. Unités avec cuisinette et foyer. La Cage Brasserie Sportive est sur place. L¿hôtel est à dix minutes du centre de villégiature. À proximité : ski de fond, raquette, glissade sur tube, golf, parc linéaire (kilomètre 79), spa Le Scandinave, casino, etc.<strong></strong>;This hotel offers the best quality-price ratio in the region. Units with kitchenette and fireplace. La Cage Brasserie Sportive restaurant-bar on site. Located 10 minutes from the Tremblant resort, Scandinave Spa and the casino. Neaby: cross-country skiing, snowshoeing, snowmobiling, Ski Mont Blanc, snow tubing, seven championship golf courses, boat tours and more.;0
851083;CENTRE NOTRE-DAME DE LA ROUGE;CENTRE NOTRE-DAME DE LA ROUGE;Centre de vacances se donnant pour mission de favoriser le développement humain, spirituel et chrétien des jeunes en leur proposant de vivre une expérience de groupe signifiante en pleine nature, afin de les aider à acquérir une plus grande estime d'eux-mêmes et à devenir les artisans de leur propre vie.;Youth holiday camp whose mission is to promote human, spiritual and Christian development through meaningful group experiences in nature. Activities focus on building self-esteem and helping participants take control of their lives.;0
851143;CAMP CAROWANIS;CAMP CAROWANIS;"<span class=""mcenoneditable""><span>Camp de vacances spécialisé pour enfants diabétiques.</span></span>";Specialized summer camp for diabetic children.;0
851340;YMCA KANAWANA;YMCA KANAWANA;Camp situé dans un milieu naturel et luxuriant à seulement 45 minutes de Montréal. Aménagé au bord de trois lacs privés se trouvant au c¿ur de la forêt. Cadre enchanteur idéal pour votre sortie familiale, votre groupe scolaire, votre session d¿étude ou votre organisme communautaire.;Camp YMCA Kanawana is a lush natural environment just 45minutes north of Montreal. Situated on 3 private lakes in the heart of the forest, Kanawana is an idyllic setting for your family outing, school group, work retreat or community organization.;0
851421;CAMP WA-THIK-ANE;CAMP WA-THIK-ANE;;;0
851455;CAMP DES DÉBROUILLARDS;CAMP DES DÉBROUILLARDS;;;0
851581;CAMP KINNERET BILUIM;CAMP KINNERET BILUIM;;;0
851676;CAMPS DE L'AVENIR;CAMPS DE L'AVENIR;Ce centre de vacances offre diverses formules de séjour. Les camps pour jeunes se veulent un lieu de formation à la vie sociale, à l'engagement communautaire, au respect de l'environnement et au développement d'une culture de paix. Ceux pour les adultes et les familles leur permettent de s'amuser et de se reposer.;Holiday centre with a range of packages. The youth camps allow young people to socialize while gaining a sense of community involvement, respect for the environment and the importance of peace. Adult and family camps set the stage for fun and relaxation.;0
851729;CAMP LAC-L'ACHIGAN;CAMP LAC-L'ACHIGAN;Découvre un camp qui te laissera certainement de très bons souvenirs que tu chériras durant toute ton existence et qui t¿inciteront à donner un sens à ta vie. Tu trouveras assurément un programme qui te convient.;Summer camp that¿s sure to leave you with great memories you¿ll cherish your whole life and that will challenge you to live life with purpose. You¿re bound to find a camp program that¿s right for you.;0
851852;CAMP CARITAS;CAMP CARITAS;;;0
851898;CAMP DE-LA-SALLE;CAMP DE-LA-SALLE;Centre de vacances situé dans un site exceptionnel d¿une superficie de plus de 40 hectares et particulièrement conçu pour les groupes organisés qui désirent un lieu pour des journées de formation, des ateliers de pratique intensive, des sorties scolaires, ou qui cherchent tout simplement un endroit agréable pour se rencontrer en famille.;Vacation centre on a beautiful site with an area of more than 40 hectares (99 acres) developed especially for organized groups wanting a location for training, intensive workshops, school outings, or simply those seeking a nice location for family gatherings.;0
851975;CAMP PAPILLON;CAMP PAPILLON;Situé sur une presqu¿île aux abords du lac Pierre, le camp répond aux besoins des écoles, groupes, familles ou couples qui recherchent un site de plein air pour leur journée de classe nature, pour leur prochain rassemblement ou simplement pour passer des vacances. Les revenus de location soutiennent directement la Fondation Papillon.;This vacation centre built on a peninsula on lac Pierre welcomes schools, groups, families and couples seeking an outdoor destination for their next class trip, retreat or holiday. Proceeds from the facility directly support the Fondation Papillon.;0
852076;CAMP RICHELIEU SAINT-CÔME;CAMP RICHELIEU SAINT-CÔME;Centre de vacances offrant un programme de classe-natur<em>e</em>(séjour et journée de plein air)<em>,</em> l¿accueil de groupes, une colonie de vacances et un programme de répit-dépannage.;Camp offering nature classes (outdoor days and longer stays), group facilities, a day camp and loads of fresh-air fun.;0
852254;CAMP MÈRE M.L. CLARAC;CAMP MÈRE M.L. CLARAC;Camp situé à Saint-Donat, dans la région de Lanaudière, sur le bord de la rivière Ouareau. Terrain de 115 acres pourvu d'installations uniques. Sous la direction des Soeurs de Charité de Sainte-Marie, ce camp offre la même qualité d'encadrement qui fait la réputation de l'École Marie-Clarac de Montréal.;Located on the banks of the Rivière Ouareau in Saint-Donat, in Lanaudière, this 115-acre camp boasts unique facilities. Under the direction of the Sisters of Charity of Saint Mary, the camp offers the same quality setting and organization that has established the fine reputation of the Marie-Clarac school in Montréal.;0
852336;CAMP RICHELIEU DE ST-HYACINTHE;CAMP RICHELIEU DE ST-HYACINTHE;Camp de vacances pour personnes vivant avec une déficience intellectuelle et autistes.;Summer camp for persons with intellectual disabilities and autistic individuals.;0
852386;CHALETS WACONICHI;CHALETS WACONICHI;Les réserves fauniques Assinica et des Lacs-Albanel-Mistassini-et-Waconichi recèlent des endroits de choix pour les mordus de la pêche qui recherchent des trophées et pour les fervents des grands espaces. Sur ces territoires de démesure, on trouve le plus grand lac naturel d'eau douce du Québec, le lac Mistassini, d'une longueur de 176 km, qui atteint par endroit 40 km de largeur. Laissez-vous tenter par l'air du large et profitez d'un séjour mémorable dans ces réserves fauniques où le mot espace prend une toute autre dimension...;"Réserve faunique Assinica and Réserve faunique des Lacs-Albanel-Mistassini-et-Waconichi offer plenty of choice locations for fishing enthusiasts in search of trophy fish, and for people who love nature and the outdoors. These territories are home to Québec's biggest freshwater lake, Lac Mistassini, which is 176 km in length and 40 km in width at some places. Come experience the unique atmosphere of these huge expanses, and take advantage of a memorable stay in these wildlife reserves, which give a whole new meaning to the expression &QUOT;the great outdoors&QUOT;...";0
852446;RÉSERVE FAUNIQUE MASTIGOUCHE;RÉSERVE FAUNIQUE MASTIGOUCHE;Le lac Sorcier tient son nom d'une vieille légende selon laquelle un sorcier hanterait son île, empêchant les gens de dormir en faisant entendre d'étranges bruits. La réserve faunique Mastigouche est pourtant un endroit calme et reposant... Idéal pour la villégiature. Outre les traditionnelles activités de chasse et de pêche, la randonnée pédestre et le canot-camping permettent la découverte des attraits de ce riche territoire. Les amateurs de camping seront séduits par celui du lac Saint-Bernard. N'oubliez pas votre appareil photo!;Lac Sorcier owes its name to an old legend about a sorcerer who haunted his island, preventing people from sleeping by causing strange noises. Yet Réserve faunique Mastigouche is a calm and relaxing spot that is ideal for vacationing. In addition to traditional hunting and fishing activities, hiking and canoe-camping give visitors the opportunity to discover the many attractions of this rich territory. Camping enthusiasts will be captivated by Lac Saint-Bernard. Remember to bring along your camera!;0
852501;CHALETS DU PARC DU MONT-TREMBLANT;CHALETS DU PARC DU MONT-TREMBLANT;"<span class=""mcenoneditable""><span>Le secteur L¿Assomption du parc national du Mont-Tremblant est plus accessible que jamais! Pour la nuit, laissez-vous tenter par le confort des chalets, le charme des yourtes ou l¿authenticité du camping.</span></span>";The L¿Assomption sector of Parc national du Mont-Tremblant is more accessible than ever! After a day of fresh air, relax in a cozy cabin, enjoy the charm of a yurt or an authentic camping adventure.;0
